Gene Symbol,Ensembl ID,Biotype,Tractability
FER1L6,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000214814"" target=""_blank"">ENSG00000214814</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Human Protein Atlas loc</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
FLCN,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154803"" target=""_blank"">ENSG00000154803</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
FMOD,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000122176"" target=""_blank"">ENSG00000122176</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span>"
FMR1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102081"" target=""_blank"">ENSG00000102081</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
FNDC1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164694"" target=""_blank"">ENSG00000164694</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span>"
FNTA,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168522"" target=""_blank"">ENSG00000168522</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Approved Drug</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Med-Quality Pocket</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Druggable Family</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span>"
FOXN2,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170802"" target=""_blank"">ENSG00000170802</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
FRAS1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000138759"" target=""_blank"">ENSG00000138759</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
FRZB,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162998"" target=""_blank"">ENSG00000162998</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span>"
GABRB3,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166206"" target=""_blank"">ENSG00000166206</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Approved Drug</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Druggable Family</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span>"
GASK1B,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164125"" target=""_blank"">ENSG00000164125</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span>"
GBX1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164900"" target=""_blank"">ENSG00000164900</a>",protein_coding,NaN
GCNA,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000147174"" target=""_blank"">ENSG00000147174</a>",protein_coding,NaN
GJA1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152661"" target=""_blank"">ENSG00000152661</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span>"
GPALPP1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000133114"" target=""_blank"">ENSG00000133114</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
GPATCH2L,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000089916"" target=""_blank"">ENSG00000089916</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
GPR119,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000147262"" target=""_blank"">ENSG00000147262</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Advanced Clinical</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Druggable Family</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span>"
GPR50,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102195"" target=""_blank"">ENSG00000102195</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Druggable Family</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Human Protein Atlas loc</span>"
GRHL2,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000083307"" target=""_blank"">ENSG00000083307</a>",protein_coding,NaN
GTF2H1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000110768"" target=""_blank"">ENSG00000110768</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
GUCY1B2,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000123201"" target=""_blank"">ENSG00000123201</a>",transcribed_unitary_pseudogene,NaN
H2BC4,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000180596"" target=""_blank"">ENSG00000180596</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
HAL,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000084110"" target=""_blank"">ENSG00000084110</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
HAPLN1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000145681"" target=""_blank"">ENSG00000145681</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
HBB,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000244734"" target=""_blank"">ENSG00000244734</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Approved Drug</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Pocket</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Druggable Family</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Approved Drug</span>"
HSD3BP4,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000203855"" target=""_blank"">ENSG00000203855</a>",transcribed_unprocessed_pseudogene,NaN
HSPA13,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000155304"" target=""_blank"">ENSG00000155304</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
HSPA2,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000126803"" target=""_blank"">ENSG00000126803</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Pocket</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span>"
HTR1D,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000179546"" target=""_blank"">ENSG00000179546</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Approved Drug</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Druggable Family</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span>"
HYDIN,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000157423"" target=""_blank"">ENSG00000157423</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Med-Quality Pocket</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
IAH1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134330"" target=""_blank"">ENSG00000134330</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
IFT80,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000068885"" target=""_blank"">ENSG00000068885</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
IGFBP7,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163453"" target=""_blank"">ENSG00000163453</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
"<span title=""IGHV1OR15-9"">IGHV1OR15-...</span>","<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000188403"" target=""_blank"">ENSG00000188403</a>",IG_V_gene,NaN
IGSF10,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152580"" target=""_blank"">ENSG00000152580</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
IKZF5,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000095574"" target=""_blank"">ENSG00000095574</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Human Protein Atlas loc</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
INF2,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000203485"" target=""_blank"">ENSG00000203485</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
INPP4B,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109452"" target=""_blank"">ENSG00000109452</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
ISCA1,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000135070"" target=""_blank"">ENSG00000135070</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
KAT2B,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000114166"" target=""_blank"">ENSG00000114166</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">High-Quality Pocket</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Druggable Family</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Literature</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Small Molecule Binder</span>"
KICS2,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174206"" target=""_blank"">ENSG00000174206</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
KIN,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000151657"" target=""_blank"">ENSG00000151657</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Structure with Ligand</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Half-life Data</span>"
KIR3DL2,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000240403"" target=""_blank"">ENSG00000240403</a>",protein_coding,"<span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Advanced Clinical</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">GO CC high conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt loc med conf</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">UniProt SigP or TMHMM</span> <span style=""background-color:#d1c4e9; color:#4a148c; padding:4px 8px; border-radius:10px; margin:2px; display:inline-block;"">Database Ubiquitination</span>"
KIR3DL3,"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000242019"" target=""_blank"">ENSG00000242019</a>",protein_coding,NaN
