Gene,Gene Name,log_2 fold change,Biotype,Tractability,Drug,Interaction Type,PMID,Interaction Score,Pathways
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000156009"" target=""_blank"">ENSG00000156009</a>",MAGEA8,1.6,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000156136"" target=""_blank"">ENSG00000156136</a>",DCK,1.5,protein_coding,Structure with Ligand High-Quality Ligand High-Quality Pocket Druggable Family Database Ubiquitination Half-life Data Small Molecule Binder,(R)-ND-336; ANDECALIXIMAB; AZD1236; AZD6605; CAMPTOTHECIN; CGS-27023A; CLADRIBINE; COMPOUND 1A [PMID: 15055993]; COMPOUND 29E [PMID: 23631440]; DAUNORUBICIN LIPOSOMAL; DEOXYCYTIDINE; DIDEOXYADENOSINE; FLUDARABINE; IDARUBICIN; ILOMASTAT; LAMIVUDINE; MARIMASTAT; MITOXANTRONE; SB-3CT; SL422; TETRAHYDROURIDINE; TEZACITABINE; TP0556351,N/A; antibody; inhibitor,10961690; 11952160; 14973057; 15564883; 17296311; 18570408; 27548009; 3262616,0.7568057889979487,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000156531"" target=""_blank"">ENSG00000156531</a>",PHF6,1.5,protein_coding,UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000157064"" target=""_blank"">ENSG00000157064</a>",NMNAT2,2.0,protein_coding,UniProt Ubiquitination Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000157423"" target=""_blank"">ENSG00000157423</a>",HYDIN,1.5,protein_coding,Med-Quality Pocket Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000157869"" target=""_blank"">ENSG00000157869</a>",RAB28,1.5,protein_coding,Structure with Ligand Med-Quality Pocket UniProt loc high conf GO CC med conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000158258"" target=""_blank"">ENSG00000158258</a>",CLSTN2,3.2,protein_coding,UniProt loc med conf UniProt SigP or TMHMM GO CC med conf Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000159212"" target=""_blank"">ENSG00000159212</a>",CLIC6,1.6,protein_coding,UniProt loc med conf UniProt SigP or TMHMM GO CC med conf Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000159455"" target=""_blank"">ENSG00000159455</a>",LCE2B,1.6,protein_coding,NaN,,,,,Keratinization R-HSA-6805567
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000159596"" target=""_blank"">ENSG00000159596</a>",TMEM69,1.7,protein_coding,UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000160183"" target=""_blank"">ENSG00000160183</a>",TMPRSS3,1.8,protein_coding,UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162366"" target=""_blank"">ENSG00000162366</a>",PDZK1IP1,1.5,protein_coding,Structure with Ligand UniProt loc high conf UniProt SigP or TMHMM GO CC med conf,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162600"" target=""_blank"">ENSG00000162600</a>",OMA1,1.7,protein_coding,UniProt SigP or TMHMM Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162601"" target=""_blank"">ENSG00000162601</a>",MYSM1,1.6,protein_coding,UniProt Ubiquitination Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162604"" target=""_blank"">ENSG00000162604</a>",TM2D1,1.8,protein_coding,UniProt SigP or TMHMM GO CC med conf Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162813"" target=""_blank"">ENSG00000162813</a>",BPNT1,1.5,protein_coding,Structure with Ligand High-Quality Pocket Druggable Family Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162949"" target=""_blank"">ENSG00000162949</a>",CAPN13,2.0,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162998"" target=""_blank"">ENSG00000162998</a>",FRZB,2.2,protein_coding,UniProt loc high conf UniProt SigP or TMHMM GO CC med conf,A-395; AZ14117230; MAK683; POCIREDIR,inhibitor; modulator,,11.419580934756207,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163075"" target=""_blank"">ENSG00000163075</a>",CFAP221,1.6,protein_coding,GO CC med conf,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163291"" target=""_blank"">ENSG00000163291</a>",PAQR3,1.8,protein_coding,UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163453"" target=""_blank"">ENSG00000163453</a>",IGFBP7,1.6,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163468"" target=""_blank"">ENSG00000163468</a>",CCT3,2.1,protein_coding,Structure with Ligand Human Protein Atlas loc UniProt Ubiquitination Database Ubiquitination Half-life Data,BEVACIZUMAB; RANIBIZUMAB,N/A,29852030,9.353180575133655,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163564"" target=""_blank"">ENSG00000163564</a>",PYHIN1,3.8,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163634"" target=""_blank"">ENSG00000163634</a>",THOC7,1.7,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163811"" target=""_blank"">ENSG00000163811</a>",WDR43,1.5,protein_coding,Structure with Ligand UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164073"" target=""_blank"">ENSG00000164073</a>",MFSD8,1.5,protein_coding,UniProt loc high conf UniProt SigP or TMHMM Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164078"" target=""_blank"">ENSG00000164078</a>",MST1R,1.5,protein_coding,Phase 1 Clinical Structure with Ligand High-Quality Ligand Druggable Family Advanced Clinical GO CC high conf UniProt SigP or TMHMM UniProt Ubiquitination Database Ubiquitination Small Molecule Binder,ALSTERPAULLONE; BARASERTIB-HQPA; BMS-754807; CEDIRANIB; CENISERTIB; CHEMBL:CHEMBL1997335; CHEMBL:CHEMBL379975; DOVITINIB; ENTRECTINIB; FORETINIB; GLESATINIB; ILORASERTIB; JNJ-7706621; LINIFANIB; MK-2461; MK-8033; NARNATUMAB; NVP-TAE684; PALBOCICLIB; PD-0166285; PF-562271; RG-1530; SOTRASTAURIN; TOZASERTIB,N/A; inhibitor,19778024,0.2190912175479467,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164125"" target=""_blank"">ENSG00000164125</a>",GASK1B,1.8,protein_coding,UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164181"" target=""_blank"">ENSG00000164181</a>",ELOVL7,1.6,protein_coding,Structure with Ligand UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164251"" target=""_blank"">ENSG00000164251</a>",F2RL1,1.6,protein_coding,Structure with Ligand High-Quality Ligand Druggable Family GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Human Protein Atlas loc UniProt Ubiquitination Database Ubiquitination Small Molecule Binder,AC-55541; AC264613; CLARITHROMYCIN; DEXAMETHASONE; DOXYCYCLINE ANHYDROUS; ERYTHROMYCIN; MACROLIDE ANTIBIOTIC; MINOCYCLINE; ROXITHROMYCIN; TETRACYCLINE; TORIN 2,N/A; inhibitor,18212111; 18720984; 19258275; 28628558,1.5278369194379098,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164332"" target=""_blank"">ENSG00000164332</a>",UBLCP1,1.5,protein_coding,High-Quality Ligand Database Ubiquitination Half-life Data Small Molecule Binder,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164398"" target=""_blank"">ENSG00000164398</a>",ACSL6,1.9,protein_coding,UniProt SigP or TMHMM Database Ubiquitination Half-life Data Small Molecule Binder,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164609"" target=""_blank"">ENSG00000164609</a>",SLU7,1.5,protein_coding,Structure with Ligand UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164694"" target=""_blank"">ENSG00000164694</a>",FNDC1,1.6,protein_coding,UniProt loc high conf UniProt SigP or TMHMM GO CC med conf,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164900"" target=""_blank"">ENSG00000164900</a>",GBX1,1.6,protein_coding,NaN,(S)-DRF-1042,inhibitor,,26.10189927944276,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164902"" target=""_blank"">ENSG00000164902</a>",PHAX,1.6,protein_coding,Structure with Ligand Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165124"" target=""_blank"">ENSG00000165124</a>",SVEP1,1.5,protein_coding,UniProt loc high conf UniProt loc med conf UniProt SigP or TMHMM GO CC med conf Database Ubiquitination,TICAGRELOR,N/A,35501592,11.60084412419678,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165238"" target=""_blank"">ENSG00000165238</a>",WNK2,1.6,protein_coding,High-Quality Ligand Druggable Family UniProt loc high conf GO CC med conf Database Ubiquitination Half-life Data Small Molecule Binder,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165487"" target=""_blank"">ENSG00000165487</a>",MICU2,1.5,protein_coding,Structure with Ligand Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165669"" target=""_blank"">ENSG00000165669</a>",FAM204A,1.7,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165810"" target=""_blank"">ENSG00000165810</a>",BTNL9,2.1,protein_coding,GO CC high conf UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166012"" target=""_blank"">ENSG00000166012</a>",TAF1D,1.8,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166046"" target=""_blank"">ENSG00000166046</a>",TCP11L2,3.8,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166145"" target=""_blank"">ENSG00000166145</a>",SPINT1,1.5,protein_coding,UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Human Protein Atlas loc Database Ubiquitination Half-life Data,SURAMIN,N/A,15590895,2.747568345204501,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166206"" target=""_blank"">ENSG00000166206</a>",GABRB3,2.3,protein_coding,Approved Drug Structure with Ligand High-Quality Ligand Druggable Family UniProt loc high conf GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Database Ubiquitination Half-life Data Small Molecule Binder,ABP-700; ACAMPROSATE CALCIUM; ADINAZOLAM; ADIPIPLON; ALPRAZOLAM; BREXANOLONE; BROMAZEPAM; BUTABARBITAL SODIUM; BUTALBITAL; CENOBAMATE; CHEMBL:CHEMBL1077391; CHLORDIAZEPOXIDE; CHLORDIAZEPOXIDE HYDROCHLORIDE; CHLORMETHIAZOLE; CINOLAZEPAM; CIPEPOFOL; CLOBAZAM; CLONAZEPAM; CLORAZEPATE; CLORAZEPATE DIPOTASSIUM; CLOTIAZEPAM; DARIGABAT; DESFLURANE; DIAZEPAM; ENFLURANE; ESTAZOLAM; ESZOPICLONE; ETAZOLATE; ETHCHLORVYNOL; ETIFOXINE; ETOMIDATE; EVT 201; FLUDIAZEPAM; FLUMAZENIL; FLUNITRAZEPAM; FLURAZEPAM; FLURAZEPAM HYDROCHLORIDE; FOSPROPOFOL; GABOXADOL; GANAXOLONE; GLUTETHIMIDE; HALAZEPAM; HALOTHANE; IMEPITOIN; ISOFLURANE; LORAZEPAM; LOREDIPLON; MEPROBAMATE; METHAQUALONE; METHAQUALONE HYDROCHLORIDE; METHARBITAL; METHOHEXITAL SODIUM; METHOXYFLURANE; METHYPRYLON; MIDAZOLAM HYDROCHLORIDE; NITRAZEPAM; OCINAPLON; OXAZEPAM; PADSEVONIL; PAGOCLONE; PENTOBARBITAL SODIUM; PRAZEPAM; PRIMIDONE; PROPOFOL; QUAZEPAM; REMIMAZOLAM; REMIMAZOLAM BESYLATE; RESEQUINIL; SECOBARBITAL SODIUM; SEVOFLURANE; TALBUTAL; TEMAZEPAM; TETRAZEPAM; THIAMYLAL SODIUM; THIOPENTAL SODIUM; TOPIRAMATE; TRIAZOLAM; TRICLOFOS SODIUM; ZOPICLONE; ZURANOLONE; [3H]AZIETOMIDATE,N/A; agonist; inhibitor; inverse agonist; negative modulator; positive modulator,16884293; 19762240,0.05553599910140685,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166368"" target=""_blank"">ENSG00000166368</a>",OR2D2,1.9,protein_coding,UniProt loc med conf UniProt SigP or TMHMM GO CC med conf,,,,,Expression And Translocation Of Olfactory Receptors R-HSA-9752946; Olfactory Signaling Pathway R-HSA-381753
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166432"" target=""_blank"">ENSG00000166432</a>",ZMAT1,1.7,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166762"" target=""_blank"">ENSG00000166762</a>",CATSPER2,2.0,protein_coding,Druggable Family GO CC high conf UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167608"" target=""_blank"">ENSG00000167608</a>",TMC4,1.9,protein_coding,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167767"" target=""_blank"">ENSG00000167767</a>",KRT80,1.7,protein_coding,Database Ubiquitination Half-life Data,,,,,Keratinization R-HSA-6805567
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168124"" target=""_blank"">ENSG00000168124</a>",OR1F1,1.6,protein_coding,UniProt loc med conf UniProt SigP or TMHMM GO CC med conf,,,,,Expression And Translocation Of Olfactory Receptors R-HSA-9752946; Olfactory Signaling Pathway R-HSA-381753
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168229"" target=""_blank"">ENSG00000168229</a>",PTGDR,3.5999999999999996,protein_coding,Approved Drug High-Quality Ligand Druggable Family UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Human Protein Atlas loc Small Molecule Binder,AM-461; ASAPIPRANT; DEXAMETHASONE; DINOPROST; FEVIPIPRANT; LAROPIPRANT; MK-1029; SETIPIPRANT; VIDUPIPRANT,N/A; inhibitor,26226939,2.155923050125085,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168522"" target=""_blank"">ENSG00000168522</a>",FNTA,2.0,protein_coding,Approved Drug Structure with Ligand High-Quality Ligand Med-Quality Pocket Druggable Family GO CC med conf Database Ubiquitination Half-life Data Small Molecule Binder,"COMPOUND 51 [PMID: 19743866]; CP-609,754; GGTI-2418; IPTACOPAN; LONAFARNIB; TIPIFARNIB",N/A; inhibitor; other/unknown,,4.9948078868069485,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168615"" target=""_blank"">ENSG00000168615</a>",ADAM9,1.7,protein_coding,Druggable Family UniProt loc high conf UniProt SigP or TMHMM GO CC med conf Database Ubiquitination Half-life Data Small Molecule Binder,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168675"" target=""_blank"">ENSG00000168675</a>",LDLRAD4,1.6,protein_coding,UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168993"" target=""_blank"">ENSG00000168993</a>",CPLX1,2.8,protein_coding,Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169031"" target=""_blank"">ENSG00000169031</a>",COL4A3,1.6,protein_coding,Structure with Ligand GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Database Ubiquitination Approved Drug,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,cleavage,,0.8095513874263265,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090; Collagen Chain Trimerization R-HSA-8948216; Collagen Formation R-HSA-1474290
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169313"" target=""_blank"">ENSG00000169313</a>",P2RY12,1.6,protein_coding,Approved Drug Structure with Ligand High-Quality Ligand Druggable Family UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Small Molecule Binder,CANGRELOR; CANGRELOR TETRASODIUM; CLOPIDOGREL; CLOPIDOGREL BISULFATE; CYTARABINE; ELINOGREL; MC-1; PRASUGREL; PRASUGREL HYDROCHLORIDE; REGRELOR; REGRELOR DISODIUM; SELATOGREL; TICAGRELOR; TICLOPIDINE; TICLOPIDINE HYDROCHLORIDE; TREPROSTINIL,N/A; inhibitor; negative modulator,15955565; 20126830; 24951432; 31124414,2.743768822648947,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169397"" target=""_blank"">ENSG00000169397</a>",RNASE3,1.8,protein_coding,Structure with Ligand Med-Quality Pocket GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169429"" target=""_blank"">ENSG00000169429</a>",CXCL8,3.4000000000000004,protein_coding,Structure with Ligand High-Quality Ligand Med-Quality Pocket Druggable Family Advanced Clinical GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Small Molecule Binder,"13-CIS-RETINAL; ABX-IL8; ACE INHIBITOR; ACETAMINOPHEN; ADAKITUG; ALDRIN; ALL-TRANS-RETINAL; ALPHA-TOCOPHEROL ACETATE; ALPRAZOLAM; ALUMINUM HYDROXIDE; ANTIDEPRESSANT AGENT; ASPIRIN; BEVACIZUMAB; BINETRAKIN; BIOFLAVONOID; BROXURIDINE; CANERTINIB DIHYDROCHLORIDE; CEFTRIAXONE; CETUXIMAB; CHEMBL:CHEMBL1902074; CHLORDANE; CIDOFOVIR ANHYDROUS; CLARITHROMYCIN; COLCHICINE; CORONOPILIN; CYCLOPHOSPHAMIDE ANHYDROUS; D-ALPHA-TOCOPHEROL ACETATE; DACARBAZINE; DANAZOL; DEOXYSPERGUALIN; DICHLORVOS; DICYCLOHEXYLCARBODIIMIDE; DINITRO CRESOL; DIPYRIDAMOLE; E319; EMODIN; ENDOSULFAN; FENRETINIDE; FENTANYL CITRATE; FLUOROURACIL; FOSCARNET; GP-120 ANTIGEN; HARMINE HYDROCHLORIDE; HEPTACHLOR; HISTONE DEACETYLASE INHIBITOR; HYDROQUINONE; IBUPROFEN, SODIUM SALT; IONOMYCIN; KLEBSIELLA PNEUMONIAE GLYCOPROTEIN; LANSOPRAZOLE; LEFLUNOMIDE; MANNOSE-BINDING LECTIN; MDX-018; MEDROXYPROGESTERONE ACETATE; METHIMAZOLE; METHYLENE BLUE ANHYDROUS; MIDAZOLAM HYDROCHLORIDE; NAPROXEN SODIUM; OMEPRAZOLE; PACLITAXEL; PAMIDRONATE; PAZOPANIB; PENTOXIFYLLINE; PROTECTIVE AGENT; PYROGALLOL; QUESTIOMYCIN B; RANIBIZUMAB; RECOMBINANT CYTOKINE; RECOMBINANT INTERFERON ALFA; RECOMBINANT INTERLEUKIN-1; RECOMBINANT LYMPHOTOXIN BETA; RIBAVIRIN; RO 31-8220; SUNITINIB; TALC; TERFENADINE; TETRADECANOYLPHORBOL ACETATE; TRETINOIN; TROGLITAZONE; VERAPAMIL; VITAMIN A; YANGONIN",N/A; inhibitor,10466876; 10614716; 10630964; 10660968; 10902750; 11228246; 11285034; 11418279; 11453524; 11852880; 12003967; 12006522; 12010777; 12218154; 12364456; 12500513; 12576442; 12900342; 15150308; 15878691; 15908664; 15914533; 15956251; 16161451; 16979119; 17000556; 17118622; 17122965; 19010874; 2163626; 2250017; 23584701; 25589620; 25695485; 26653034; 2686646; 7510691; 8011012; 8900181; 8919641; 8995686; 9029113; 9271387; 9292787; 9304405; 9479645; 9507569; 9527747; 9620522; 9846973,0.2315539027298501,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169474"" target=""_blank"">ENSG00000169474</a>",SPRR1A,1.6,protein_coding,GO CC high conf,,,,,Keratinization R-HSA-6805567
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169554"" target=""_blank"">ENSG00000169554</a>",ZEB2,1.9,protein_coding,GO CC high conf UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169862"" target=""_blank"">ENSG00000169862</a>",CTNND2,1.5,protein_coding,GO CC med conf Database Ubiquitination Half-life Data,COMPOUND 4E [PMID: 35546685]; DORAMAPIMOD,inhibitor,,3.8301700029617103,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169894"" target=""_blank"">ENSG00000169894</a>",MUC3A,2.1,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169994"" target=""_blank"">ENSG00000169994</a>",MYO7B,1.8,protein_coding,Structure with Ligand Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170367"" target=""_blank"">ENSG00000170367</a>",CST5,1.6,protein_coding,UniProt loc high conf GO CC high conf UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170542"" target=""_blank"">ENSG00000170542</a>",SERPINB9,1.6,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170802"" target=""_blank"">ENSG00000170802</a>",FOXN2,1.5,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000171396"" target=""_blank"">ENSG00000171396</a>",KRTAP4-4,2.1,protein_coding,NaN,,,,,Keratinization R-HSA-6805567
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000171631"" target=""_blank"">ENSG00000171631</a>",P2RY6,1.8,protein_coding,Advanced Clinical High-Quality Ligand Druggable Family GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Database Ubiquitination Small Molecule Binder,DIQUAFOSOL TETRASODIUM; MC-1,N/A; agonist,,4.350316546573794,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000171863"" target=""_blank"">ENSG00000171863</a>",RPS7,1.5,protein_coding,Approved Drug Structure with Ligand High-Quality Ligand UniProt Ubiquitination Database Ubiquitination Half-life Data Small Molecule Binder Advanced Clinical,ATALUREN; CYCLOHEXIMIDE; DORLIMOMAB ARITOX; EXALUREN; MT-3724,inhibitor; modulator,,0.12542926651954794,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000172324"" target=""_blank"">ENSG00000172324</a>",OR5A2,1.6,protein_coding,UniProt loc med conf UniProt SigP or TMHMM GO CC med conf,,,,,Expression And Translocation Of Olfactory Receptors R-HSA-9752946; Olfactory Signaling Pathway R-HSA-381753
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000172469"" target=""_blank"">ENSG00000172469</a>",MANEA,1.9,protein_coding,Structure with Ligand UniProt SigP or TMHMM Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000172673"" target=""_blank"">ENSG00000172673</a>",THEMIS,1.8,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000173335"" target=""_blank"">ENSG00000173335</a>",CST9,1.5,protein_coding,UniProt loc high conf UniProt SigP or TMHMM GO CC med conf,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000173930"" target=""_blank"">ENSG00000173930</a>",SLCO4C1,3.0999999999999996,protein_coding,Druggable Family UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Human Protein Atlas loc Database Ubiquitination Small Molecule Binder,DAUNORUBICIN LIPOSOMAL; DIGOXIN; DOXORUBICIN HYDROCHLORIDE,N/A,26230641,0.5470671832533442,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174206"" target=""_blank"">ENSG00000174206</a>",KICS2,1.7,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174914"" target=""_blank"">ENSG00000174914</a>",OR9G1,1.5,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000174944"" target=""_blank"">ENSG00000174944</a>",P2RY14,1.6,protein_coding,High-Quality Ligand Druggable Family GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Small Molecule Binder,MC-1,N/A,,4.350316546573794,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000175206"" target=""_blank"">ENSG00000175206</a>",NPPA,3.5,protein_coding,Druggable Family UniProt loc high conf GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Small Molecule Binder,AMLODIPINE BESYLATE; AZATHIOPRINE; CHLORTHALIDONE; IV FLUID,N/A,1308922; 18212314; 8986183,7.857282253855649,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000175398"" target=""_blank"">ENSG00000175398</a>",OR10P1,1.5,protein_coding,Druggable Family GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Human Protein Atlas loc,ATENOLOL; METOPROLOL,N/A,29478026,2.732891163873281,Expression And Translocation Of Olfactory Receptors R-HSA-9752946; Olfactory Signaling Pathway R-HSA-381753
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000175826"" target=""_blank"">ENSG00000175826</a>",CTDNEP1,2.2,protein_coding,UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000175946"" target=""_blank"">ENSG00000175946</a>",KLHL38,1.7,protein_coding,Druggable Family,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176092"" target=""_blank"">ENSG00000176092</a>",CRYBG2,1.5,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176200"" target=""_blank"">ENSG00000176200</a>",OR4D11,1.5,protein_coding,UniProt loc med conf UniProt SigP or TMHMM GO CC med conf,,,,,Expression And Translocation Of Olfactory Receptors R-HSA-9752946; Olfactory Signaling Pathway R-HSA-381753
